dig,Condition,Priority,Feature ID,Event,ILI Wheel Count (feet),anom_lat,anom_long,called_pct,found_pct,called_dent_pct,found_dent_pct,anom_lngth,anom_width,anom_orient,HCA,joint,length,wt,year,seam_clock,seam,us_stationing,exp_fr_US_gw,US_gw,US_lat,US_long,DS_lat,DS_long,pressure
SOHI.S7.016.406.T20.D20.N.RI,Requires Investigation,99,10135,Deformation Anomaly,86625.78,31.42316685,-96.14181575,0,9.94,1.39,,3.04,3.93,5:31,No,21070,30.77,0.312,1958,SMLS,ERW,738488.57,16.65,19.08,31.42321096,-96.14184884,31.42313982,-96.14179547,983
SOHI.S7.050.163.T20.D20.H.RI,Requires Investigation,27,ANOM-0001792,Linear Longitudinal Weld Anomaly A,264859.28,30.99796551,-95.86594655,36,0,,,4.78,1.31,10:21,Yes,66500,39.69,0.281,1958,10:33:00,ERW,560137.38,0,39.69,30.99796666,-95.8659472,30.99786874,-95.86589243,895.1617135
SOHI.S7.050.403.T20.D20.H.RI,Requires Investigation,35,ANOM-0001801,Linear Longitudinal Weld Anomaly B,266128,30.99479745,-95.8642738,31,0,,,4.88,1.31,8:55,Yes,66810,40.1,0.281,1958,9:02:00,ERW,558900.76,0,40.1,30.99488107,-95.86431571,30.99478024,-95.86426517,950.5983892
SOHI.S7.051.085.T20.D20.H.RI,Requires Investigation,46,ANOM-0001820,Linear Longitudinal Weld Anomaly A,269728,30.98570037,-95.85979826,32,21.35,,,2.95,1.31,11:25,Yes,67730,39.98,0.281,1958,11:30:00,ERW,555271.64,0,39.98,30.98571597,-95.85980579,30.98561445,-95.85975679,988.2320337
SOHI.S7.054.604.T20.D20.H.180,180 Day,10,35180,Seam Weld - B Anomaly,288310.63,30.93833592,-95.83820405,34,,,,0.98,0.12,1:51,Yes,72550,33.93,0.281,1958,1:54:00,ERW,536688.49,-25.89,77.88,30.93837647,-95.83818562,30.93829029,-95.83822479,983
SOHI.S7.090.803.T20.D20.N.RI,Requires Investigation,28,ANOM-0002563,Linear Longitudinal Weld Anomaly B,479441.44,30.44738475,-95.6285557,30,,,,12.15,2.62,12:02,No,122030,39.84,0.281,1958,12:16:00,ERW,345437.96,0,39.84,30.44739112,-95.62855849,30.44728905,-95.62851382,905.5550363
SOHI.S7.094.027.T20.D20.H.RI,Requires Investigation,37,ANOM-0000187,Linear Longitudinal Weld Anomaly B,496461.23,30.40437034,-95.6084706,34,,,,3.35,2.62,2:15,Yes,126510,39.99,0.281,1958,2:36:00,ERW,328419.87,0,39.99,30.40440505,-95.60848687,30.40430332,-95.60843917,951
SOHI.S7.104.297.T20.D20.N.P3,Priority Three,16,46130,Seam Weld - A Anomaly,550690.06,30.27065474,-95.5349679,62,54.8,,,2.06,0.1,12:10,No,140360,43.43,0.281,1958,12:12:00,ERW,274153.77,0,43.43,30.27067065,-95.53497739,30.27056462,-95.53491411,967
SOHI.S7.105.598.T20.D20.H.180,180 Day,9,46678,Seam Weld - B Anomaly,557561.56,30.25390942,-95.52491499,41,,,,0.89,0.16,12:16,Yes,142030,49.52,0.281,1958,12:20:00,ERW,267288.27,0,49.52,30.25394918,-95.52493869,30.25382862,-95.52486683,895
SOHI.S7.108.290.T20.D20.H.180,180 Day,6,47690,Seam Weld - B Anomaly,571775.8,30.21852006,-95.50600171,33,74.07,,,1.76,0.09,1:01,Yes,145680,29.1,0.281,1958,1:02:00,ERW,253069.23,0,29.1,30.21856749,-95.50603012,30.21849644,-95.50598756,983
SOHI.S7.109.997.T20.D20.H.180,180 Day,5,48484,Seam Weld - A Anomaly,580788.78,30.19793679,-95.49039071,61,52,,,1.65,0.17,11:16,Yes,147910,40.9,0.281,1958,11:15:00,ERW,244056.38,0,40.9,30.19799099,-95.49043688,30.19790072,-95.49035999,983
SOHI.S7.112.083.T20.D20.H.RI,Requires Investigation,15,49318,Metal Loss Anomaly,591799.83,30.17399697,-95.46905289,79,50.17,,,2.68,0.25,6:48,Yes,150680,34.29,0.281,1958,11:24:00,ERW,536688.49,15.99,20.99,30.93837647,-95.83818562,30.93829029,-95.83822479,983
SOHI.S7.114.913.T20.D20.H.365,365 Day,14,ANOM-0001090,Linear Longitudinal Weld Anomaly B,606739.27,30.14407983,-95.44015365,35,,,,7.77,2.62,11:40,Yes,154480,45.47,0.281,1958,11:52:00,ERW,218067.98,0,45.47,30.14408259,-95.44015504,30.14396828,-95.44009751,863
SOHI.S7.115.597.T20.D20.H.180,180 Day,7,50313,Seam Weld - A Anomaly,610355.51,30.13490478,-95.43576352,44,26.86,,,1,0.11,12:15,Yes,155310,44.93,0.281,1958,12:14:00,ERW,214476.24,0,44.93,30.13497478,-95.43579728,30.13486077,-95.4357423,983
SOHI.S7.116.127.T20.D20.H.180,180 Day,8,50528,Seam Weld - B Anomaly,613151,30.12813986,-95.43175208,23,,,,1.61,0.11,11:23,Yes,155980,41.43,0.281,1958,11:24:00,ERW,211682.54,0,41.43,30.12820475,-95.4318151,30.12811785,-95.4317307,983
SOHI.S7.117.779.T20.D20.H.180,180 Day,11,51104,Seam Weld - A Anomaly,621875.55,30.10628739,-95.42214758,30,59.93,,,0.93,0.1,11:07,Yes,158170,43.1,0.281,1958,11:08:00,ERW,202949.8,0,43.1,30.10635587,-95.4221851,30.10624887,-95.42212648,983
